id,title,filtered_words,features,label_index
R129,New Report on Election,"[issue,force,recent.,really,reduce,beyond.,experts,discuss,ongoing,developments,election.]","(50000,[9666],[5.523458920524919])",1.0
R227,New Report on Climate Change,"[western,form,republican.,laugh,degree,see,director,investment,lead.,experts,discuss,ongoing,developments,climate,change.]","(50000,[32607],[5.523458920524919])",1.0
F231,Aliens Confirmed by Sources,"[maintain,likely,college,thousand,already,middle.,approach,break,community,song,officer,health,music,explain.,—,shocking,claims,aliens,surface,internet.]","(50000,[10990],[5.523458920524919])",0.0
R066,New Report on Policy,"[believe,door,good,program,the.,sure,heavy.,either,sure,sign,stay,southern.,experts,discuss,ongoing,developments,policy.]","(50000,[37930],[5.523458920524919])",1.0
F095,Mind Control Confirmed by Sources,"[together,realize,experience.,particularly,issue,without.,—,shocking,claims,mind,control,surface,internet.]","(50000,[10321],[5.523458920524919])",0.0
R174,New Report on Policy,"[apply,several,away.,compare,arm,term,alone,another,material,billion.,experts,discuss,ongoing,developments,policy.]","(50000,[14635],[5.523458920524919])",1.0
R201,New Report on Public Health,"[performance,short,together.,education,interview,civil,yeah,spring,remain,serve.,experts,discuss,ongoing,developments,public,health.]","(50000,[43426],[5.523458920524919])",1.0
R072,New Report on Education,"[win,glass,state.,production,teach,plant,recently,money,sound.,experts,discuss,ongoing,developments,education.]","(50000,[3409],[5.523458920524919])",1.0
R064,New Report on Research,"[range,guy,option,vote,movement,level,effect.,bag,day,matter.,style,career,official,development.,mission,rock,father,realize,three.,experts,discuss,ongoing,developments,research.]","(50000,[36149],[5.523458920524919])",1.0
F037,Miracle Drug Confirmed by Sources,"[model,executive,threat,many.,—,shocking,claims,miracle,drug,surface,internet.]","(50000,[4541],[5.523458920524919])",0.0
R170,New Report on Technology Breakthrough,"[ever,west,human.,catch,effect,specific,among,administration,reduce.,experts,discuss,ongoing,developments,technology,breakthrough.]","(50000,[44471],[5.523458920524919])",1.0
F110,Celebrity Scandal Confirmed by Sources,"[challenge,buy,consumer,move,threat.,listen,impact,field,mr,family.,—,shocking,claims,celebrity,scandal,surface,internet.]","(50000,[25582],[5.523458920524919])",0.0
F048,Secret Cure Confirmed by Sources,"[law,various,available.,wish,cup,store,happen,conference.,—,shocking,claims,secret,cure,surface,internet.]","(50000,[32639],[5.523458920524919])",0.0
F082,Hoax Confirmed by Sources,"[contain,politics,least,agreement.,—,shocking,claims,hoax,surface,internet.]","(50000,[11597],[5.523458920524919])",0.0
F187,Miracle Drug Confirmed by Sources,"[worry,fire,everything,heart,sell,year,continue,east.,hair,book,draw,their.,color,foot,alone,theory,case,four,foot.,hold,maybe,war,may,television,knowledge.,—,shocking,claims,miracle,drug,surface,internet.]","(50000,[40573],[5.523458920524919])",0.0
F027,Miracle Drug Confirmed by Sources,"[country,professor,candidate,church,everything,nice,interest.,behind,stock,us,act,turn,they.,story,health,drug.,—,shocking,claims,miracle,drug,surface,internet.]","(50000,[30781],[5.523458920524919])",0.0
F202,Hoax Confirmed by Sources,"[everyone,science,american,bag,mention.,take,notice,event,write,hear.,—,shocking,claims,hoax,surface,internet.]","(50000,[6746],[5.523458920524919])",0.0
F197,Secret Cure Confirmed by Sources,"[name,world,sort,mother,class.,—,shocking,claims,secret,cure,surface,internet.]","(50000,[26324],[5.523458920524919])",0.0
R128,New Report on Climate Change,"[appear,health,gas,somebody,meet,physical,beyond.,right,couple,first,until.,experts,discuss,ongoing,developments,climate,change.]","(50000,[36705],[5.523458920524919])",1.0
F157,Government Cover-Up Confirmed by Sources,"[officer,cover,prepare,condition.,nature,truth,reality,win,lead,water,glass.,—,shocking,claims,government,cover-up,surface,internet.]","(50000,[1775],[5.523458920524919])",0.0
