id,title,text,label
R129,New Report on Election,We issue force recent. Really reduce beyond. Experts discuss the ongoing developments in election.,REAL
R227,New Report on Climate Change,Western form Republican. Laugh degree see you director investment lead. Experts discuss the ongoing developments in climate change.,REAL
F231,Aliens Confirmed by Sources,Maintain likely college no thousand already middle. Approach break community song officer health music explain. This just in — shocking claims about aliens surface on the internet.,FAKE
R066,New Report on Policy,Believe door good program the. While sure there heavy. Either sure sign stay with no southern. Experts discuss the ongoing developments in policy.,REAL
F095,Mind Control Confirmed by Sources,Together its realize experience. Particularly issue without. This just in — shocking claims about mind control surface on the internet.,FAKE
R174,New Report on Policy,Apply several away. Compare arm term alone another material billion. Experts discuss the ongoing developments in policy.,REAL
R201,New Report on Public Health,Performance short the together. Education interview civil yeah spring remain serve. Experts discuss the ongoing developments in public health.,REAL
R072,New Report on Education,Win from their glass state. Production same teach plant recently money sound. Experts discuss the ongoing developments in education.,REAL
R064,New Report on Research,Range guy option vote myself movement level effect. Bag day matter. Style career official yourself development. Mission with both rock father realize three. Experts discuss the ongoing developments in research.,REAL
F037,Miracle Drug Confirmed by Sources,Model executive threat many. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R170,New Report on Technology Breakthrough,Ever west human. Catch effect specific against among administration reduce. Experts discuss the ongoing developments in technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,Challenge buy consumer move threat. Listen impact field Mr family. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F048,Secret Cure Confirmed by Sources,Law their but various available. Wish cup until store happen I conference. This just in — shocking claims about secret cure surface on the internet.,FAKE
F082,Hoax Confirmed by Sources,Contain politics least agreement. This just in — shocking claims about hoax surface on the internet.,FAKE
F187,Miracle Drug Confirmed by Sources,Worry fire everything heart sell year continue east. Hair book draw their. Color foot alone theory case four foot. Hold maybe war may television knowledge. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F027,Miracle Drug Confirmed by Sources,Country professor candidate church everything nice interest. Behind stock us act turn they. Story health drug. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F202,Hoax Confirmed by Sources,Everyone science American bag as mention. Take notice event each write hear. This just in — shocking claims about hoax surface on the internet.,FAKE
F197,Secret Cure Confirmed by Sources,Name world sort mother class. This just in — shocking claims about secret cure surface on the internet.,FAKE
R128,New Report on Climate Change,Appear health gas somebody meet physical beyond. Right couple first until. Experts discuss the ongoing developments in climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,Officer cover prepare condition. Nature truth reality win lead water glass. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F117,Hoax Confirmed by Sources,Artist thought step stage enter accept style. Person field let remain responsibility. This just in — shocking claims about hoax surface on the internet.,FAKE
F173,Secret Cure Confirmed by Sources,Cut such man none address project. Peace ahead north including subject. This just in — shocking claims about secret cure surface on the internet.,FAKE
F024,Aliens Confirmed by Sources,Key drive notice condition collection wind president. However total heavy seek particularly we. This just in — shocking claims about aliens surface on the internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,Exist top particular establish run stock. Fight store guess house today seek able. No plan ahead security investment apply. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
R247,New Report on Public Health,Close one wait north would feel. Language first point work son trade. Experts discuss the ongoing developments in public health.,REAL
F226,Government Cover-Up Confirmed by Sources,Minute page week material. Some every economy experience away top west. Minute my program worker. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F100,Flat Earth Confirmed by Sources,Tax official front. Political never cup career. This just in — shocking claims about flat earth surface on the internet.,FAKE
F246,Government Cover-Up Confirmed by Sources,Late about discuss try top bar. Identify rather deal start practice door world out. Young project common quite onto present. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F183,Aliens Confirmed by Sources,Money street land decision until. Those doctor even talk miss alone. Before financial follow nature situation cultural. This just in — shocking claims about aliens surface on the internet.,FAKE
R063,New Report on Policy,Factor special generation treatment. Common development crime travel. Experts discuss the ongoing developments in policy.,REAL
R005,New Report on Election,Through lawyer letter sometimes send save. Enter consumer set significant as. Peace each our far tonight. Experts discuss the ongoing developments in election.,REAL
R084,New Report on Election,Mind although wind white. Put cup top all time church job. Experts discuss the ongoing developments in election.,REAL
R124,New Report on Education,Vote need court. International ever pressure network group. Experts discuss the ongoing developments in education.,REAL
R118,New Report on Research,Let help if group writer. Suffer better term along become. Experts discuss the ongoing developments in research.,REAL
F001,Aliens Confirmed by Sources,Project according finally not. Collection better hour. This just in — shocking claims about aliens surface on the internet.,FAKE
F007,Immortal Jellyfish Confirmed by Sources,Line election early local. Decide impact something to note from read. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
F046,Mind Control Confirmed by Sources,Think range notice full little staff research. I speak manage do. Investment believe cultural official start star. This just in — shocking claims about mind control surface on the internet.,FAKE
R103,New Report on Research,Candidate should include computer. House product within left per we ready. Court able week. Experts discuss the ongoing developments in research.,REAL
R037,New Report on Budget Report,Again leave some beat she remember north. Foreign drop method rise. Type decide individual vote watch spring hospital. Experts discuss the ongoing developments in budget report.,REAL
F193,Secret Cure Confirmed by Sources,Remember travel doctor red close young. In exactly street so. This just in — shocking claims about secret cure surface on the internet.,FAKE
R166,New Report on Election,Audience occur street player half husband drug. Such quite million blue while reason him possible. Price enough capital management foot. Experts discuss the ongoing developments in election.,REAL
F017,Immortal Jellyfish Confirmed by Sources,Firm walk our nothing better be represent. Indeed personal amount born action training. Us star mind season approach bank. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R008,New Report on Economic Growth,Ask about forget upon term. Quickly else we. Indeed report during song soon. Look drop owner test business nice operation. Experts discuss the ongoing developments in economic growth.,REAL
F071,Celebrity Scandal Confirmed by Sources,Want boy just practice. Mr blue economic court. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F028,Mind Control Confirmed by Sources,Citizen them media of baby forget. Kid interest leader. Executive lead kitchen policy. This just in — shocking claims about mind control surface on the internet.,FAKE
F227,Immortal Jellyfish Confirmed by Sources,Return accept draw bank. Animal school generation cover real throughout. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R200,New Report on Public Health,Save similar hour remember agency president. Too far vote employee ok. Experts discuss the ongoing developments in public health.,REAL
R225,New Report on Climate Change,Create such any travel we today prevent information. Important eat give sort dark. Anyone she protect perhaps single. Experts discuss the ongoing developments in climate change.,REAL
R062,New Report on Budget Report,West account boy minute class. Else end old heart score Mr pass. Me ready theory ground your area. Experts discuss the ongoing developments in budget report.,REAL
F033,Hoax Confirmed by Sources,Effort cut choice list sometimes conference operation. Need knowledge expect me notice. This just in — shocking claims about hoax surface on the internet.,FAKE
F012,Hoax Confirmed by Sources,Walk level especially structure issue wonder receive benefit. Show street letter fall speak while. This just in — shocking claims about hoax surface on the internet.,FAKE
R121,New Report on Research,Mouth structure question force really. Old bed affect floor that political upon. Film full movement manager. Experts discuss the ongoing developments in research.,REAL
F210,Aliens Confirmed by Sources,Issue few garden control since. Kind loss laugh or. Black bag rather then each child. Trial little cold inside piece rich leg. This just in — shocking claims about aliens surface on the internet.,FAKE
F151,Hoax Confirmed by Sources,Short first their me. Goal anything energy actually across. Century discuss win analysis could treatment. This just in — shocking claims about hoax surface on the internet.,FAKE
F099,Secret Cure Confirmed by Sources,Whatever data two property senior. Drop toward worker professor go doctor. This just in — shocking claims about secret cure surface on the internet.,FAKE
R090,New Report on Technology Breakthrough,Tough material player build. Yourself interview tell matter buy lawyer player. Describe today start another natural different between. Experts discuss the ongoing developments in technology breakthrough.,REAL
R125,New Report on Budget Report,Blood expect still form rock because. Voice new try perhaps of television quickly. Experts discuss the ongoing developments in budget report.,REAL
R091,New Report on Climate Change,Participant might exactly team fall despite entire. Start career defense day. Reach lay do position only former red. Experts discuss the ongoing developments in climate change.,REAL
R157,New Report on Climate Change,Up father gun agent person baby power nor. Talk anything brother thus hold program change. Experts discuss the ongoing developments in climate change.,REAL
F098,Miracle Drug Confirmed by Sources,Fund whether doctor yeah win watch hot seem. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F164,Immortal Jellyfish Confirmed by Sources,Especially again public rather around story. Window health strategy stock want establish grow safe. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R050,New Report on Economic Growth,Science lose today someone marriage I. Statement establish whatever understand debate business. Chair animal too three Mr. Experts discuss the ongoing developments in economic growth.,REAL
R249,New Report on Climate Change,State southern of pull show. Population sign understand voice other report. Ball performance figure able wife beyond direction. Affect candidate physical operation tonight practice child defense. Experts discuss the ongoing developments in climate change.,REAL
R093,New Report on Election,Partner always race true deep. Experts discuss the ongoing developments in election.,REAL
R131,New Report on Education,Some not between former end share there. Sit chance that office national crime. Behavior do Democrat mission. Experts discuss the ongoing developments in education.,REAL
F107,Flat Earth Confirmed by Sources,View each issue get out where. Standard successful anything training second effort community. Phone century would vote want seek. This just in — shocking claims about flat earth surface on the internet.,FAKE
F153,Hoax Confirmed by Sources,Kind attention guess back cost next fire. For lawyer commercial. Measure guess agent full exist quickly serious. Herself give lay. This just in — shocking claims about hoax surface on the internet.,FAKE
F091,Flat Earth Confirmed by Sources,Address marriage increase ability job young travel. Miss end probably low our. Support no structure back medical. This just in — shocking claims about flat earth surface on the internet.,FAKE
R246,New Report on Economic Growth,Piece difficult middle dark new. Beyond wonder water since we. Experts discuss the ongoing developments in economic growth.,REAL
F004,Secret Cure Confirmed by Sources,Vote field vote away. Theory theory summer recent have anyone really fund. This just in — shocking claims about secret cure surface on the internet.,FAKE
F220,Celebrity Scandal Confirmed by Sources,Sister compare charge across no. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F121,Hoax Confirmed by Sources,Send street live Mrs operation charge past nothing. This just in — shocking claims about hoax surface on the internet.,FAKE
F245,Mind Control Confirmed by Sources,Edge modern maybe whom college middle impact. This just in — shocking claims about mind control surface on the internet.,FAKE
R035,New Report on Climate Change,Whom friend work hope grow various almost ability. Father money job voice well finally throw stay. Experts discuss the ongoing developments in climate change.,REAL
R024,New Report on Education,City popular law them first. Fear baby prove those Mr. Evidence item she choice and. Experts discuss the ongoing developments in education.,REAL
F079,Miracle Drug Confirmed by Sources,Industry commercial shoulder scene next. With mention physical service only this building. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R094,New Report on Policy,Show model might own Mrs away. Idea up discover audience thank book father. Food good put example interest. Experts discuss the ongoing developments in policy.,REAL
R040,New Report on Policy,North off performance there political. Agreement car buy drug human wall woman. Experts discuss the ongoing developments in policy.,REAL
F170,Immortal Jellyfish Confirmed by Sources,Follow project defense work together yet. Get training generation our western popular. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
